2026-04-18 18:46:04.126 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 18:46:07.667 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 18:46:07.668 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 18:48:14.064 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 18:48:14.064 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 18:48:30.632 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 18:48:30.632 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 18:48:35.559 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 18:48:35.559 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 18:49:12.499 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 18:49:12.500 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 18:49:31.445 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 18:49:31.446 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 19:28:25.312 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 19:28:25.312 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 19:28:27.057 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 19:28:27.059 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 19:35:52.435 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 19:35:52.436 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 19:36:41.418 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 19:36:41.418 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 19:37:22.225 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 19:37:22.225 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 19:38:17.636 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 19:38:17.637 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 23:19:30.253 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 23:19:30.258 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 23:21:10.605 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 23:21:10.606 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 23:22:26.145 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 23:22:26.146 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 23:22:28.039 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 23:22:28.040 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 23:22:37.809 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 23:22:37.810 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 23:25:53.472 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 23:25:53.472 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 23:26:04.569 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 23:26:04.570 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 23:26:06.374 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 23:26:06.375 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 23:26:39.334 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 23:26:39.335 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 23:26:45.282 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 23:26:45.283 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 23:32:53.633 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 23:32:53.633 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 23:33:10.039 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 23:33:10.040 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 23:34:25.358 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 23:34:25.359 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 23:34:36.126 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-18 23:34:36.127 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-19 02:11:56.042 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-19 02:11:56.049 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-19 02:14:15.422 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-19 02:14:15.425 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-19 02:16:07.355 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-19 02:16:07.357 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-19 02:17:10.242 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-19 02:17:10.243 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-19 02:24:09.257 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-19 02:24:09.259 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-19 02:24:46.874 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
2026-04-19 02:24:46.875 WARNING (MainThread) [homeassistant.components.http.ban] Login attempt or request with invalid authentication from 172.18.0.1 (172.18.0.1). Requested URL: '/api/websocket'. (node)
